"LOCATION,""INDICATOR"",""SUBJECT"",""MEASURE"",""FREQUENCY"",""TIME"",""Value"",""Flag Codes"""
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1957-12"",97.29099,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1958-01"",97.3491,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1958-02"",97.49104,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1958-03"",97.66726,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1958-04"",97.83418,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1958-05"",98.02365,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1958-06"",98.26821,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1958-07"",98.60564,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1958-08"",99.00874,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1958-09"",99.42374,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1958-10"",99.81116,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1958-11"",100.1103,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1958-12"",100.2258,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1959-01"",100.1586,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1959-02"",99.99221,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1959-03"",99.81905,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1959-04"",99.6921,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1959-05"",99.60112,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1959-06"",99.64747,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1959-07"",99.92778,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1959-08"",100.5443,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1959-09"",101.5354,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1959-10"",102.7001,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1959-11"",103.7321,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1959-12"",104.383,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1960-01"",104.4845,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1960-02"",104.1157,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1960-03"",103.5221,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1960-04"",102.8763,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1960-05"",102.2939,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1960-06"",101.8276,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1960-07"",101.4897,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1960-08"",101.2567,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1960-09"",101.0928,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1960-10"",100.9488,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1960-11"",100.8305,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1960-12"",100.7904,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1961-01"",100.811,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1961-02"",100.8374,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1961-03"",100.7562,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1961-04"",100.4858,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1961-05"",100.0172,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1961-06"",99.37571,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1961-07"",98.58533,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1961-08"",97.74883,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1961-09"",97.04923,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1961-10"",96.58866,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1961-11"",96.39111,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1961-12"",96.37556,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1962-01"",96.45687,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1962-02"",96.60564,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1962-03"",96.80241,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1962-04"",97.03392,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1962-05"",97.22924,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1962-06"",97.37717,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1962-07"",97.55416,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1962-08"",97.79398,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1962-09"",98.0582,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1962-10"",98.32455,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1962-11"",98.57319,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1962-12"",98.79348,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1963-01"",99.007,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1963-02"",99.28404,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1963-03"",99.63251,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1963-04"",100.0097,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1963-05"",100.3747,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1963-06"",100.7223,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1963-07"",101.105,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1963-08"",101.5075,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1963-09"",101.8821,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1963-10"",102.1667,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1963-11"",102.3079,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1963-12"",102.3249,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1964-01"",102.2452,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1964-02"",102.1149,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1964-03"",102.0015,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1964-04"",101.9705,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1964-05"",102.0238,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1964-06"",102.1571,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1964-07"",102.2976,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1964-08"",102.3777,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1964-09"",102.3094,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1964-10"",102.0312,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1964-11"",101.5728,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1964-12"",101.0062,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1965-01"",100.4546,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1965-02"",99.94857,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1965-03"",99.46205,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1965-04"",99.01178,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1965-05"",98.68178,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1965-06"",98.49684,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1965-07"",98.44563,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1965-08"",98.52722,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1965-09"",98.73958,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1965-10"",99.06606,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1965-11"",99.45962,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1965-12"",99.89572,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1966-01"",100.3139,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1966-02"",100.6358,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1966-03"",100.7822,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1966-04"",100.6401,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1966-05"",100.1013,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1966-06"",99.19572,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1966-07"",98.05241,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1966-08"",96.85714,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1966-09"",95.88146,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1966-10"",95.24038,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1966-11"",94.97146,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1966-12"",95.05975,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1967-01"",95.43037,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1967-02"",95.95302,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1967-03"",96.59423,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1967-04"",97.34052,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1967-05"",98.12174,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1967-06"",98.87496,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1967-07"",99.53989,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1967-08"",100.1165,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1967-09"",100.6028,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1967-10"",100.9477,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1967-11"",101.1143,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1967-12"",101.0909,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1968-01"",100.933,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1968-02"",100.6888,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1968-03"",100.4001,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1968-04"",100.1744,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1968-05"",100.1493,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1968-06"",100.2927,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1968-07"",100.5945,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1968-08"",100.9647,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1968-09"",101.2622,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1968-10"",101.4076,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1968-11"",101.3501,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1968-12"",101.0807,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1969-01"",100.6599,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1969-02"",100.1861,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1969-03"",99.70436,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1969-04"",99.22018,"
