Banco do Brasil SA | Price History                                          22-May-2023 13:58;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
BBAS3.SA;;;;;;;;;;;;;;;
Interval: Daily;;;;;;;;;;;;;;;
History Period: 21-May-2003 - 19-May-2023;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
VAP: Total;37.052.497.639;;;;;;;;;;;;;;
Price;Volume;%Volume;Count;%Count;;;;;;;;;;;
40.00 - 45.00;1.012.975.700;2,73%;66;1,33%;;;;;;;;;;;
35.00 - 40.00;4.566.827.800;12,33%;336;6,79%;;;;;;;;;;;
30.00 - 35.00;3.863.112.200;10,43%;267;5,39%;;;;;;;;;;;
25.00 - 30.00;5.802.740.800;15,66%;397;8,02%;;;;;;;;;;;
20.00 - 25.00;5.600.944.700;15,12%;441;8,91%;;;;;;;;;;;
15.00 - 20.00;2.767.154.606;7,47%;309;6,24%;;;;;;;;;;;
10.00 - 15.00;10.335.625.962;27,89%;1674;33,80%;;;;;;;;;;;
5.00 - 10.00;2.612.294.142;7,05%;838;16,92%;;;;;;;;;;;
0.00 - 5.00;490.821.729;1,32%;624;12,60%;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
BBAS3.SA Statistics     Daily     21-May-2003 - 19-May-2023;;;;;;;;;;;;;;;
Price;;;Volume;;;;;Up/Down;;Price Change (Close-Close);;;Turnover;;
High;44,85;15-mai-2023;Max;102.036.100;22-fev-2021;Advancing;18.995.580.919;Up;2497;Up;+20,71%;13-out-2008;Max;2.964.447.352,00;22-fev-2021
Low;1,51;30-jun-2003;Min;26.310;26-dez-2005;Declining;17.703.934.374;Down;2379;Down;-21,17%;15-mar-2016;Min;27.870,00;19-out-2004
Avg;15,96;;Avg;7.479.309;;Total;37.052.497.639;Unch;76;Period;+2.571,73%;21-May-2003 - 19-May-2023;Avg;231.450.617,81;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
BBAS3.SA History     Daily     21-May-2003 - 19-May-2023;;;;;;;;;;;;;;;
Exchange Date;Close;Net;%Chg;Open;Low;High;Volume;Turnover - BRL;Flow;;;;;;
19-mai-2023;44,04;+0,84;+1,94%;43,34;42,99;44,12;33.867.500;1.478.691.922,00;54.255.358.088,20;;;;;;
18-mai-2023;43,20;-0,03;-0,07%;43,10;42,80;43,32;11.686.400;503.209.637,00;52.776.666.166,20;;;;;;
17-mai-2023;43,23;+0,07;+0,16%;43,25;42,93;43,85;17.464.800;755.006.708,00;53.279.875.803,20;;;;;;
16-mai-2023;43,16;-1,28;-2,88%;44,44;42,93;44,74;21.408.300;929.847.721,00;52.524.869.095,20;;;;;;
15-mai-2023;44,44;+0,21;+0,47%;44,49;44,03;44,85;8.601.300;381.661.378,00;53.454.716.816,20;;;;;;
12-mai-2023;44,23;-0,17;-0,38%;44,05;43,90;44,69;12.195.400;539.162.921,00;53.073.055.438,20;;;;;;
11-mai-2023;44,40;+0,89;+2,05%;43,42;43,07;44,62;13.524.800;595.883.418,00;53.612.218.359,20;;;;;;
10-mai-2023;43,51;+0,56;+1,30%;43,00;42,60;43,60;10.508.100;453.978.070,00;53.016.334.941,20;;;;;;
09-mai-2023;42,95;-0,13;-0,30%;42,99;42,67;43,41;9.674.100;415.963.720,00;52.562.356.871,20;;;;;;
08-mai-2023;43,08;-0,17;-0,39%;43,44;42,96;43,78;8.060.500;348.611.594,00;52.978.320.591,20;;;;;;
05-mai-2023;43,25;+1,07;+2,54%;42,19;42,19;43,31;7.137.400;306.416.887,00;53.326.932.185,20;;;;;;
04-mai-2023;42,18;+0,47;+1,13%;42,00;41,54;42,45;7.358.200;309.714.347,00;53.020.515.298,20;;;;;;
