PIB Total - variação % sobre o mesmo período do ano anterior - Mediana - Período de 01/07/2012 a 01/08/2021 - Base: Expectativas informadas nos últimos 30 dias;;;;;;;;;;;;;;
Data;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
02/07/2012;2,0300;4,2000;4,0000;4,0000;4,0000;;;;;;;;;
03/07/2012;2,0300;4,2000;4,0000;4,0000;4,0000;;;;;;;;;
04/07/2012;2,0300;4,2000;4,0000;4,0000;4,0000;;;;;;;;;
05/07/2012;2,0300;4,2000;4,0000;4,0000;4,0000;;;;;;;;;
06/07/2012;2,0100;4,2000;4,0000;4,0000;4,0000;;;;;;;;;
09/07/2012;2,0100;4,2000;4,0000;4,0000;4,0000;;;;;;;;;
10/07/2012;2,0000;4,1800;4,0000;4,0000;4,0000;;;;;;;;;
11/07/2012;1,9900;4,1000;4,0000;4,0000;4,0000;;;;;;;;;
12/07/2012;1,9800;4,1000;4,0000;4,0000;4,0000;;;;;;;;;
13/07/2012;1,9000;4,1000;4,0000;4,0000;4,0000;;;;;;;;;
16/07/2012;1,9000;4,1000;4,0000;4,0000;4,0000;;;;;;;;;
17/07/2012;1,9000;4,1000;4,0000;4,0000;4,0000;;;;;;;;;
18/07/2012;1,9000;4,1000;4,0000;4,0000;4,0000;;;;;;;;;
19/07/2012;1,9000;4,1000;4,0000;4,0000;3,8000;;;;;;;;;
20/07/2012;1,9000;4,1000;4,0000;4,0000;3,8000;;;;;;;;;
23/07/2012;1,9000;4,1000;4,0000;4,0000;3,9000;;;;;;;;;
24/07/2012;1,9000;4,1000;4,0000;4,0000;3,9000;;;;;;;;;
25/07/2012;1,9000;4,1000;4,0000;4,0000;3,9000;;;;;;;;;
26/07/2012;1,9000;4,1000;4,0000;4,0000;3,8000;;;;;;;;;
27/07/2012;1,9000;4,0500;4,0000;4,0000;4,0000;;;;;;;;;
30/07/2012;1,9000;4,1000;4,0000;4,0000;4,0000;;;;;;;;;
31/07/2012;1,9000;4,1000;4,0000;4,0000;4,0000;;;;;;;;;
01/08/2012;1,9000;4,0500;4,0000;4,0000;3,9000;;;;;;;;;
02/08/2012;1,9000;4,0000;4,0000;4,0000;3,9000;;;;;;;;;
03/08/2012;1,8500;4,0000;4,0000;4,0000;4,0000;;;;;;;;;
06/08/2012;1,8500;4,1000;4,0000;4,0000;3,8000;;;;;;;;;
07/08/2012;1,8800;4,1000;4,0000;4,0000;4,0000;;;;;;;;;
08/08/2012;1,8500;4,0000;4,0000;4,0000;4,0000;;;;;;;;;
09/08/2012;1,8500;4,0000;4,0000;4,0000;3,7800;;;;;;;;;
10/08/2012;1,8100;4,0000;4,0000;4,0000;3,8000;;;;;;;;;
13/08/2012;1,8000;4,0000;4,0000;4,0000;3,7800;;;;;;;;;
14/08/2012;1,8000;4,0000;4,0000;4,0000;3,7800;;;;;;;;;
15/08/2012;1,8000;4,0000;4,0000;4,0000;3,7800;;;;;;;;;
16/08/2012;1,7500;4,0000;4,0000;4,0000;3,7800;;;;;;;;;
17/08/2012;1,7500;4,0000;4,0000;4,0000;3,7800;;;;;;;;;
20/08/2012;1,7400;4,0000;4,0000;3,9100;3,7800;;;;;;;;;
21/08/2012;1,7200;4,0000;4,0000;3,9800;3,8000;;;;;;;;;
22/08/2012;1,7300;4,0000;4,0000;4,0000;3,9000;;;;;;;;;
23/08/2012;1,7300;4,0000;4,0000;4,0000;3,9000;;;;;;;;;
24/08/2012;1,7300;4,0000;4,0000;4,0000;3,9000;;;;;;;;;
27/08/2012;1,7000;4,0000;4,0000;4,0000;3,7800;;;;;;;;;
28/08/2012;1,7000;4,0000;4,0000;4,0000;3,7800;;;;;;;;;
29/08/2012;1,7200;4,0000;4,0000;3,9800;3,8000;;;;;;;;;
30/08/2012;1,7300;4,0000;4,0000;3,9600;3,7800;;;;;;;;;
31/08/2012;1,6400;4,0000;4,0000;3,8800;3,7800;;;;;;;;;
03/09/2012;1,6200;4,0000;4,0000;3,9600;3,7800;;;;;;;;;
04/09/2012;1,6200;4,0000;4,0000;3,9600;3,7800;;;;;;;;;
05/09/2012;1,6200;4,0000;4,0000;3,9600;3,7800;;;;;;;;;
06/09/2012;1,6200;4,0000;4,0000;3,9600;3,8000;;;;;;;;;
10/09/2012;1,6000;4,0000;4,0000;4,0000;3,7500;;;;;;;;;
11/09/2012;1,5900;4,0000;4,0000;4,0000;3,7500;;;;;;;;;
12/09/2012;1,5800;4,0000;4,0000;4,0000;3,7500;;;;;;;;;
13/09/2012;1,5700;4,0000;4,0000;4,0000;3,7500;;;;;;;;;
14/09/2012;1,5700;4,0000;4,0000;4,0000;3,7000;;;;;;;;;
17/09/2012;1,5700;4,0000;4,0000;4,0000;3,7000;;;;;;;;;
18/09/2012;1,5700;4,0000;4,0000;4,0000;3,7000;;;;;;;;;
19/09/2012;1,5700;4,0000;4,0000;4,0000;3,7000;;;;;;;;;
20/09/2012;1,5700;4,0000;4,0000;4,0000;3,7000;;;;;;;;;
21/09/2012;1,5700;4,0000;4,0000;4,0000;3,7000;;;;;;;;;
24/09/2012;1,5700;4,0000;4,0000;3,9700;3,7000;;;;;;;;;
25/09/2012;1,5700;4,0000;4,0000;3,9700;3,7000;;;;;;;;;
26/09/2012;1,5700;4,0000;4,0000;4,0000;3,7000;;;;;;;;;
27/09/2012;1,5700;4,0000;4,0000;4,0000;3,7000;;;;;;;;;
28/09/2012;1,5700;4,0000;4,0000;4,0000;3,7000;;;;;;;;;
01/10/2012;1,5700;4,0000;4,0000;4,0000;3,7000;;;;;;;;;
02/10/2012;1,5700;4,0000;4,0000;4,0000;3,7000;;;;;;;;;
03/10/2012;1,5700;4,0000;4,0000;4,0000;3,7200;;;;;;;;;
04/10/2012;1,5700;4,0000;4,0000;4,0000;3,7200;;;;;;;;;
05/10/2012;1,5700;4,0000;4,0000;4,0000;3,7200;;;;;;;;;
08/10/2012;1,5700;4,0000;4,0000;4,0000;3,7200;;;;;;;;;
09/10/2012;1,5500;4,0000;4,0000;4,0000;3,7200;;;;;;;;;
10/10/2012;1,5400;4,0000;4,0000;4,0000;3,7200;;;;;;;;;
11/10/2012;1,5400;4,0000;4,0000;4,0000;3,7300;;;;;;;;;
15/10/2012;1,5400;4,0000;4,0000;3,9700;3,7200;;;;;;;;;
16/10/2012;1,5400;4,0000;4,0000;4,0000;3,7200;;;;;;;;;
17/10/2012;1,5400;4,0000;4,0000;4,0000;3,7200;;;;;;;;;
